countrycode,countryname,indicator_id,year,type,metadata,indicator_label_en,value,magnitude,qualifier,region,regionname,adminregion,adminregionname,incomelevel,incomelevelname,lendingtype,lendingtypename,cmu,_merge
EST,Estonia,ADMI.ENDOFPRIM.MAT,2014,Source:Data sources,Standard-Determining Test (2010); Standard-Determining Test (2011); Standard-Determining Test (2012); Standard-Determining Test (2013); Standard-Determining Test (2014), Administration of a nationally-representative learning assessment at the end of primary in mathematics (number),1,,,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,,Matched (3)
EST,Estonia,ADMI.ENDOFPRIM.READ,2021,Source:Data sources,Standard-Determining Test (2017); Standard-Determining Test (2018); Standard-Determining Test (2019); Standard-Determining Test (2021), Administration of a nationally-representative learning assessment at the end of primary in reading (number),1,,,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,,Matched (3)
EST,Estonia,ADMI.ENDOFPRIM.READ,2016,Source:Data sources,Standard-Determining Test (2012); Standard-Determining Test (2013); Standard-Determining Test (2014); Standard-Determining Test (2015); Standard-Determining Test (2016), Administration of a nationally-representative learning assessment at the end of primary in reading (number),1,,,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,,Matched (3)
EST,Estonia,ADMI.ENDOFPRIM.READ,2017,Source:Data sources,Standard-Determining Test (2013); Standard-Determining Test (2014); Standard-Determining Test (2015); Standard-Determining Test (2016); Standard-Determining Test (2017), Administration of a nationally-representative learning assessment at the end of primary in reading (number),1,,,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,,Matched (3)
EST,Estonia,ADMI.ENDOFPRIM.READ,2014,Source:Data sources,Standard-Determining Test (2010); Standard-Determining Test (2011); Standard-Determining Test (2012); Standard-Determining Test (2013); Standard-Determining Test (2014), Administration of a nationally-representative learning assessment at the end of primary in reading (number),1,,,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,,Matched (3)
EST,Estonia,ADMI.ENDOFPRIM.MAT,2015,Source:Data sources,Standard-Determining Test (2011); Standard-Determining Test (2012); Standard-Determining Test (2013); Standard-Determining Test (2014); Standard-Determining Test (2015), Administration of a nationally-representative learning assessment at the end of primary in mathematics (number),1,,,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,,Matched (3)
EST,Estonia,ADMI.ENDOFPRIM.MAT,2021,Source:Data sources,Standard-Determining Test (2017); Standard-Determining Test (2018); Standard-Determining Test (2019); Standard-Determining Test (2021), Administration of a nationally-representative learning assessment at the end of primary in mathematics (number),1,,,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,,Matched (3)
EST,Estonia,ADMI.ENDOFPRIM.MAT,2017,Source:Data sources,Standard-Determining Test (2013); Standard-Determining Test (2014); Standard-Determining Test (2015); Standard-Determining Test (2016); Standard-Determining Test (2017), Administration of a nationally-representative learning assessment at the end of primary in mathematics (number),1,,,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,,Matched (3)
EST,Estonia,ADMI.ENDOFPRIM.READ,2020,Source:Data sources,Standard-Determining Test (2016); Standard-Determining Test (2017); Standard-Determining Test (2018); Standard-Determining Test (2019), Administration of a nationally-representative learning assessment at the end of primary in reading (number),1,,,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,,Matched (3)
ETH,Ethiopia,ADMI.ENDOFPRIM.MAT,2020,,, Administration of a nationally-representative learning assessment at the end of primary in mathematics (number),0,,,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),LIC,Low income,IDX,IDA,AFCE3,Matched (3)
ETH,Ethiopia,ADMI.ENDOFPRIM.READ,2020,,, Administration of a nationally-representative learning assessment at the end of primary in reading (number),0,,,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),LIC,Low income,IDX,IDA,AFCE3,Matched (3)
ETH,Ethiopia,ADMI.ENDOFPRIM.READ,2022,,, Administration of a nationally-representative learning assessment at the end of primary in reading (number),0,,,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),LIC,Low income,IDX,IDA,AFCE3,Matched (3)
ETH,Ethiopia,ADMI.ENDOFPRIM.MAT,2016,,, Administration of a nationally-representative learning assessment at the end of primary in mathematics (number),0,,,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),LIC,Low income,IDX,IDA,AFCE3,Matched (3)
ETH,Ethiopia,ADMI.ENDOFPRIM.READ,2016,,, Administration of a nationally-representative learning assessment at the end of primary in reading (number),0,,,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),LIC,Low income,IDX,IDA,AFCE3,Matched (3)
ETH,Ethiopia,ADMI.ENDOFPRIM.READ,2017,,, Administration of a nationally-representative learning assessment at the end of primary in reading (number),0,,,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),LIC,Low income,IDX,IDA,AFCE3,Matched (3)
ETH,Ethiopia,ADMI.ENDOFPRIM.MAT,2015,,, Administration of a nationally-representative learning assessment at the end of primary in mathematics (number),0,,,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),LIC,Low income,IDX,IDA,AFCE3,Matched (3)
ETH,Ethiopia,ADMI.ENDOFPRIM.MAT,2018,,, Administration of a nationally-representative learning assessment at the end of primary in mathematics (number),0,,,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),LIC,Low income,IDX,IDA,AFCE3,Matched (3)
ETH,Ethiopia,ADMI.ENDOFPRIM.READ,2014,,, Administration of a nationally-representative learning assessment at the end of primary in reading (number),0,,,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),LIC,Low income,IDX,IDA,AFCE3,Matched (3)
ETH,Ethiopia,ADMI.ENDOFPRIM.READ,2021,,, Administration of a nationally-representative learning assessment at the end of primary in reading (number),0,,,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),LIC,Low income,IDX,IDA,AFCE3,Matched (3)
ETH,Ethiopia,ADMI.ENDOFPRIM.MAT,2014,,, Administration of a nationally-representative learning assessment at the end of primary in mathematics (number),0,,,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),LIC,Low income,IDX,IDA,AFCE3,Matched (3)
ETH,Ethiopia,ADMI.ENDOFPRIM.MAT,2021,,, Administration of a nationally-representative learning assessment at the end of primary in mathematics (number),0,,,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),LIC,Low income,IDX,IDA,AFCE3,Matched (3)
ETH,Ethiopia,ADMI.ENDOFPRIM.READ,2018,,, Administration of a nationally-representative learning assessment at the end of primary in reading (number),0,,,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),LIC,Low income,IDX,IDA,AFCE3,Matched (3)
ETH,Ethiopia,ADMI.ENDOFPRIM.READ,2019,,, Administration of a nationally-representative learning assessment at the end of primary in reading (number),0,,,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),LIC,Low income,IDX,IDA,AFCE3,Matched (3)
ETH,Ethiopia,ADMI.ENDOFPRIM.MAT,2017,,, Administration of a nationally-representative learning assessment at the end of primary in mathematics (number),0,,,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),LIC,Low income,IDX,IDA,AFCE3,Matched (3)
ETH,Ethiopia,ADMI.ENDOFPRIM.MAT,2019,,, Administration of a nationally-representative learning assessment at the end of primary in mathematics (number),0,,,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),LIC,Low income,IDX,IDA,AFCE3,Matched (3)
ETH,Ethiopia,ADMI.ENDOFPRIM.READ,2015,,, Administration of a nationally-representative learning assessment at the end of primary in reading (number),0,,,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),LIC,Low income,IDX,IDA,AFCE3,Matched (3)
ETH,Ethiopia,ADMI.ENDOFPRIM.MAT,2022,,, Administration of a nationally-representative learning assessment at the end of primary in mathematics (number),0,,,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),LIC,Low income,IDX,IDA,AFCE3,Matched (3)
FIN,Finland,ADMI.ENDOFPRIM.MAT,2018,Source:Data sources,Trends in International Mathematics and Science Study (TIMSS) G4 (2015), Administration of a nationally-representative learning assessment at the end of primary in mathematics (number),1,,,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,,Matched (3)
FIN,Finland,ADMI.ENDOFPRIM.MAT,2019,Source:Data sources,Trends in International Mathematics and Science Study (TIMSS) G4 (2015); Trends in International Mathematics and Science Study (TIMSS) G4 (2019), Administration of a nationally-representative learning assessment at the end of primary in mathematics (number),1,,,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,,Matched (3)
FIN,Finland,ADMI.ENDOFPRIM.READ,2017,Source:Data sources,Progress in International Reading Literacy Study(PIRLS) (2016), Administration of a nationally-representative learning assessment at the end of primary in reading (number),1,,,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,,Matched (3)
FIN,Finland,ADMI.ENDOFPRIM.READ,2021,Source:Data sources,Progress in International Reading Literacy Study(PIRLS) (2021), Administration of a nationally-representative learning assessment at the end of primary in reading (number),1,,,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,,Matched (3)
FIN,Finland,ADMI.ENDOFPRIM.MAT,2021,Source:Data sources,Trends in International Mathematics and Science Study (TIMSS) G4 (2019), Administration of a nationally-representative learning assessment at the end of primary in mathematics (number),1,,,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,,Matched (3)
FIN,Finland,ADMI.ENDOFPRIM.MAT,2016,Source:Data sources,Trends in International Mathematics and Science Study (TIMSS) G4 (2015), Administration of a nationally-representative learning assessment at the end of primary in mathematics (number),1,,,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,,Matched (3)
FIN,Finland,ADMI.ENDOFPRIM.READ,2014,Source:Data sources,Progress in International Reading Literacy Study(PIRLS) (2011), Administration of a nationally-representative learning assessment at the end of primary in reading (number),1,,,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,,Matched (3)
FIN,Finland,ADMI.ENDOFPRIM.READ,2020,Source:Data sources,Progress in International Reading Literacy Study(PIRLS) (2016), Administration of a nationally-representative learning assessment at the end of primary in reading (number),1,,,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,,Matched (3)
FIN,Finland,ADMI.ENDOFPRIM.READ,2016,Source:Data sources,Progress in International Reading Literacy Study(PIRLS) (2016), Administration of a nationally-representative learning assessment at the end of primary in reading (number),1,,,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,,Matched (3)
FIN,Finland,ADMI.ENDOFPRIM.READ,2019,Source:Data sources,Progress in International Reading Literacy Study(PIRLS) (2016), Administration of a nationally-representative learning assessment at the end of primary in reading (number),1,,,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,,Matched (3)
FIN,Finland,ADMI.ENDOFPRIM.READ,2022,Source:Data sources,Progress in International Reading Literacy Study(PIRLS) (2021), Administration of a nationally-representative learning assessment at the end of primary in reading (number),1,,,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,,Matched (3)
FIN,Finland,ADMI.ENDOFPRIM.READ,2018,Source:Data sources,Progress in International Reading Literacy Study(PIRLS) (2016), Administration of a nationally-representative learning assessment at the end of primary in reading (number),1,,,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,,Matched (3)
FIN,Finland,ADMI.ENDOFPRIM.MAT,2015,Source:Data sources,Trends in International Mathematics and Science Study (TIMSS) G4 (2011); Trends in International Mathematics and Science Study (TIMSS) G4 (2015), Administration of a nationally-representative learning assessment at the end of primary in mathematics (number),1,,,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,,Matched (3)
FIN,Finland,ADMI.ENDOFPRIM.MAT,2017,Source:Data sources,Trends in International Mathematics and Science Study (TIMSS) G4 (2015), Administration of a nationally-representative learning assessment at the end of primary in mathematics (number),1,,,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,,Matched (3)
FIN,Finland,ADMI.ENDOFPRIM.MAT,2020,Source:Data sources,Trends in International Mathematics and Science Study (TIMSS) G4 (2019), Administration of a nationally-representative learning assessment at the end of primary in mathematics (number),1,,,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,,Matched (3)
FIN,Finland,ADMI.ENDOFPRIM.MAT,2022,Source:Data sources,Trends in International Mathematics and Science Study (TIMSS) G4 (2019), Administration of a nationally-representative learning assessment at the end of primary in mathematics (number),1,,,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,,Matched (3)
FIN,Finland,ADMI.ENDOFPRIM.READ,2015,Source:Data sources,Progress in International Reading Literacy Study(PIRLS) (2011), Administration of a nationally-representative learning assessment at the end of primary in reading (number),1,,,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,,Matched (3)
FIN,Finland,ADMI.ENDOFPRIM.MAT,2014,Source:Data sources,Trends in International Mathematics and Science Study (TIMSS) G4 (2011), Administration of a nationally-representative learning assessment at the end of primary in mathematics (number),1,,,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,,Matched (3)
FJI,Fiji,ADMI.ENDOFPRIM.MAT,2014,Source:Data sources,Literacy and Numeracy Assessment (LANA) (2010); Literacy and Numeracy Assessment (LANA) (2011); Literacy and Numeracy Assessment (LANA) (2012); Literacy and Numeracy Assessment (LANA) (2013); Literacy and Numeracy Assessment (LANA) (2014); Pacific Islands Literacy and Numeracy Assessment (PILNA) 2012 (2012), Administration of a nationally-representative learning assessment at the end of primary in mathematics (number),1,,,EAS,East Asia and Pacific,EAP,East Asia and Pacific (excluding high income),UMC,Upper middle income,IDB,Blend,EACNF ,Matched (3)
FJI,Fiji,ADMI.ENDOFPRIM.MAT,2018,Source:Data sources,Literacy and Numeracy Assessment (LANA) (2014); Literacy and Numeracy Assessment (LANA) (2015); Literacy and Numeracy Assessment (LANA) (2016); Literacy and Numeracy Assessment (LANA) (2017); Literacy and Numeracy Assessment (LANA) (2018); Pacific Islands Literacy and Numeracy Assessment (PILNA) 2018 (2018), Administration of a nationally-representative learning assessment at the end of primary in mathematics (number),1,,,EAS,East Asia and Pacific,EAP,East Asia and Pacific (excluding high income),UMC,Upper middle income,IDB,Blend,EACNF ,Matched (3)
FJI,Fiji,ADMI.ENDOFPRIM.READ,2014,Source:Data sources,Literacy and Numeracy Assessment (LANA) (2010); Literacy and Numeracy Assessment (LANA) (2011); Literacy and Numeracy Assessment (LANA) (2012); Literacy and Numeracy Assessment (LANA) (2013); Literacy and Numeracy Assessment (LANA) (2014); Pacific Islands Literacy and Numeracy Assessment (PILNA) 2012 (2012), Administration of a nationally-representative learning assessment at the end of primary in reading (number),1,,,EAS,East Asia and Pacific,EAP,East Asia and Pacific (excluding high income),UMC,Upper middle income,IDB,Blend,EACNF ,Matched (3)
FJI,Fiji,ADMI.ENDOFPRIM.READ,2019,Source:Data sources,Literacy and Numeracy Assessment (LANA) (2015); Literacy and Numeracy Assessment (LANA) (2016); Literacy and Numeracy Assessment (LANA) (2017); Literacy and Numeracy Assessment (LANA) (2018); Literacy and Numeracy Assessment (LANA) (2019); Pacific Islands Literacy and Numeracy Assessment (PILNA) 2018 (2018), Administration of a nationally-representative learning assessment at the end of primary in reading (number),1,,,EAS,East Asia and Pacific,EAP,East Asia and Pacific (excluding high income),UMC,Upper middle income,IDB,Blend,EACNF ,Matched (3)
FJI,Fiji,ADMI.ENDOFPRIM.MAT,2020,Source:Data sources,Literacy and Numeracy Assessment (LANA) (2016); Literacy and Numeracy Assessment (LANA) (2017); Literacy and Numeracy Assessment (LANA) (2018); Literacy and Numeracy Assessment (LANA) (2019); Pacific Islands Literacy and Numeracy Assessment (PILNA) 2018 (2018), Administration of a nationally-representative learning assessment at the end of primary in mathematics (number),1,,,EAS,East Asia and Pacific,EAP,East Asia and Pacific (excluding high income),UMC,Upper middle income,IDB,Blend,EACNF ,Matched (3)
FJI,Fiji,ADMI.ENDOFPRIM.MAT,2022,Source:Data sources,Literacy and Numeracy Assessment (LANA) (2018); Literacy and Numeracy Assessment (LANA) (2019); Literacy and Numeracy Assessment (LANA) (2021); Pacific Islands Literacy and Numeracy Assessment (PILNA) 2018 (2018); Pacific Islands Literacy and Numeracy Assessment (PILNA) 2018 (2021), Administration of a nationally-representative learning assessment at the end of primary in mathematics (number),1,,,EAS,East Asia and Pacific,EAP,East Asia and Pacific (excluding high income),UMC,Upper middle income,IDB,Blend,EACNF ,Matched (3)
FJI,Fiji,ADMI.ENDOFPRIM.MAT,2015,Source:Data sources,Literacy and Numeracy Assessment (LANA) (2011); Literacy and Numeracy Assessment (LANA) (2012); Literacy and Numeracy Assessment (LANA) (2013); Literacy and Numeracy Assessment (LANA) (2014); Literacy and Numeracy Assessment (LANA) (2015); Pacific Islands Literacy and Numeracy Assessment (PILNA) 2012 (2012), Administration of a nationally-representative learning assessment at the end of primary in mathematics (number),1,,,EAS,East Asia and Pacific,EAP,East Asia and Pacific (excluding high income),UMC,Upper middle income,IDB,Blend,EACNF ,Matched (3)
FJI,Fiji,ADMI.ENDOFPRIM.MAT,2019,Source:Data sources,Literacy and Numeracy Assessment (LANA) (2015); Literacy and Numeracy Assessment (LANA) (2016); Literacy and Numeracy Assessment (LANA) (2017); Literacy and Numeracy Assessment (LANA) (2018); Literacy and Numeracy Assessment (LANA) (2019); Pacific Islands Literacy and Numeracy Assessment (PILNA) 2018 (2018), Administration of a nationally-representative learning assessment at the end of primary in mathematics (number),1,,,EAS,East Asia and Pacific,EAP,East Asia and Pacific (excluding high income),UMC,Upper middle income,IDB,Blend,EACNF ,Matched (3)
FJI,Fiji,ADMI.ENDOFPRIM.READ,2018,Source:Data sources,Literacy and Numeracy Assessment (LANA) (2014); Literacy and Numeracy Assessment (LANA) (2015); Literacy and Numeracy Assessment (LANA) (2016); Literacy and Numeracy Assessment (LANA) (2017); Literacy and Numeracy Assessment (LANA) (2018); Pacific Islands Literacy and Numeracy Assessment (PILNA) 2018 (2018), Administration of a nationally-representative learning assessment at the end of primary in reading (number),1,,,EAS,East Asia and Pacific,EAP,East Asia and Pacific (excluding high income),UMC,Upper middle income,IDB,Blend,EACNF ,Matched (3)
FJI,Fiji,ADMI.ENDOFPRIM.READ,2021,Source:Data sources,Literacy and Numeracy Assessment (LANA) (2017); Literacy and Numeracy Assessment (LANA) (2018); Literacy and Numeracy Assessment (LANA) (2019); Literacy and Numeracy Assessment (LANA) (2021); Pacific Islands Literacy and Numeracy Assessment (PILNA) 2018 (2018); Pacific Islands Literacy and Numeracy Assessment (PILNA) 2018 (2021), Administration of a nationally-representative learning assessment at the end of primary in reading (number),1,,,EAS,East Asia and Pacific,EAP,East Asia and Pacific (excluding high income),UMC,Upper middle income,IDB,Blend,EACNF ,Matched (3)
FJI,Fiji,ADMI.ENDOFPRIM.READ,2022,Source:Data sources,Literacy and Numeracy Assessment (LANA) (2018); Literacy and Numeracy Assessment (LANA) (2019); Literacy and Numeracy Assessment (LANA) (2021); Pacific Islands Literacy and Numeracy Assessment (PILNA) 2018 (2018); Pacific Islands Literacy and Numeracy Assessment (PILNA) 2018 (2021), Administration of a nationally-representative learning assessment at the end of primary in reading (number),1,,,EAS,East Asia and Pacific,EAP,East Asia and Pacific (excluding high income),UMC,Upper middle income,IDB,Blend,EACNF ,Matched (3)
FJI,Fiji,ADMI.ENDOFPRIM.READ,2020,Source:Data sources,Literacy and Numeracy Assessment (LANA) (2016); Literacy and Numeracy Assessment (LANA) (2017); Literacy and Numeracy Assessment (LANA) (2018); Literacy and Numeracy Assessment (LANA) (2019); Pacific Islands Literacy and Numeracy Assessment (PILNA) 2018 (2018), Administration of a nationally-representative learning assessment at the end of primary in reading (number),1,,,EAS,East Asia and Pacific,EAP,East Asia and Pacific (excluding high income),UMC,Upper middle income,IDB,Blend,EACNF ,Matched (3)
FJI,Fiji,ADMI.ENDOFPRIM.MAT,2021,Source:Data sources,Literacy and Numeracy Assessment (LANA) (2017); Literacy and Numeracy Assessment (LANA) (2018); Literacy and Numeracy Assessment (LANA) (2019); Literacy and Numeracy Assessment (LANA) (2021); Pacific Islands Literacy and Numeracy Assessment (PILNA) 2018 (2018); Pacific Islands Literacy and Numeracy Assessment (PILNA) 2018 (2021), Administration of a nationally-representative learning assessment at the end of primary in mathematics (number),1,,,EAS,East Asia and Pacific,EAP,East Asia and Pacific (excluding high income),UMC,Upper middle income,IDB,Blend,EACNF ,Matched (3)
FJI,Fiji,ADMI.ENDOFPRIM.READ,2017,Source:Data sources,Literacy and Numeracy Assessment (LANA) (2013); Literacy and Numeracy Assessment (LANA) (2014); Literacy and Numeracy Assessment (LANA) (2015); Literacy and Numeracy Assessment (LANA) (2016); Literacy and Numeracy Assessment (LANA) (2017), Administration of a nationally-representative learning assessment at the end of primary in reading (number),1,,,EAS,East Asia and Pacific,EAP,East Asia and Pacific (excluding high income),UMC,Upper middle income,IDB,Blend,EACNF ,Matched (3)
FJI,Fiji,ADMI.ENDOFPRIM.MAT,2017,Source:Data sources,Literacy and Numeracy Assessment (LANA) (2013); Literacy and Numeracy Assessment (LANA) (2014); Literacy and Numeracy Assessment (LANA) (2015); Literacy and Numeracy Assessment (LANA) (2016); Literacy and Numeracy Assessment (LANA) (2017), Administration of a nationally-representative learning assessment at the end of primary in mathematics (number),1,,,EAS,East Asia and Pacific,EAP,East Asia and Pacific (excluding high income),UMC,Upper middle income,IDB,Blend,EACNF ,Matched (3)
FJI,Fiji,ADMI.ENDOFPRIM.READ,2016,Source:Data sources,Literacy and Numeracy Assessment (LANA) (2012); Literacy and Numeracy Assessment (LANA) (2013); Literacy and Numeracy Assessment (LANA) (2014); Literacy and Numeracy Assessment (LANA) (2015); Literacy and Numeracy Assessment (LANA) (2016); Pacific Islands Literacy and Numeracy Assessment (PILNA) 2012 (2012), Administration of a nationally-representative learning assessment at the end of primary in reading (number),1,,,EAS,East Asia and Pacific,EAP,East Asia and Pacific (excluding high income),UMC,Upper middle income,IDB,Blend,EACNF ,Matched (3)
FJI,Fiji,ADMI.ENDOFPRIM.MAT,2016,Source:Data sources,Literacy and Numeracy Assessment (LANA) (2012); Literacy and Numeracy Assessment (LANA) (2013); Literacy and Numeracy Assessment (LANA) (2014); Literacy and Numeracy Assessment (LANA) (2015); Literacy and Numeracy Assessment (LANA) (2016); Pacific Islands Literacy and Numeracy Assessment (PILNA) 2012 (2012), Administration of a nationally-representative learning assessment at the end of primary in mathematics (number),1,,,EAS,East Asia and Pacific,EAP,East Asia and Pacific (excluding high income),UMC,Upper middle income,IDB,Blend,EACNF ,Matched (3)
FJI,Fiji,ADMI.ENDOFPRIM.READ,2015,Source:Data sources,Literacy and Numeracy Assessment (LANA) (2011); Literacy and Numeracy Assessment (LANA) (2012); Literacy and Numeracy Assessment (LANA) (2013); Literacy and Numeracy Assessment (LANA) (2014); Literacy and Numeracy Assessment (LANA) (2015); Pacific Islands Literacy and Numeracy Assessment (PILNA) 2012 (2012), Administration of a nationally-representative learning assessment at the end of primary in reading (number),1,,,EAS,East Asia and Pacific,EAP,East Asia and Pacific (excluding high income),UMC,Upper middle income,IDB,Blend,EACNF ,Matched (3)
FRA,France,ADMI.ENDOFPRIM.READ,2017,Source:Data sources,Cycle des Evaluations Disciplinaires Realisees sur Echantillons (CEDRE) (2015); Evaluation des Acquis des Eleves (2013); Evaluation des Acquis des Eleves (2014); Evaluation des Acquis des Eleves (2016); Evaluation des Acquis des Eleves (2017); Progress in International Reading Literacy Study(PIRLS) (2016), Administration of a nationally-representative learning assessment at the end of primary in reading (number),1,,,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,,Matched (3)
FRA,France,ADMI.ENDOFPRIM.MAT,2019,Source:Data sources,Cycle des Evaluations Disciplinaires Realisees sur Echantillons (CEDRE) (2019); Evaluation des Acquis des Eleves (2015); Evaluation des Acquis des Eleves (2016); Evaluation des Acquis des Eleves (2017); Evaluation des Acquis des Eleves (2018); Trends in International Mathematics and Science Study (TIMSS) G4 (2015); Trends in International Mathematics and Science Study (TIMSS) G4 (2019), Administration of a nationally-representative learning assessment at the end of primary in mathematics (number),1,,,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,,Matched (3)
FRA,France,ADMI.ENDOFPRIM.READ,2019,Source:Data sources,Cycle des Evaluations Disciplinaires Realisees sur Echantillons (CEDRE) (2015); Evaluation des Acquis des Eleves (2016); Evaluation des Acquis des Eleves (2017); Evaluation des Acquis des Eleves (2018); Evaluation des Acquis des Eleves (2019); Progress in International Reading Literacy Study(PIRLS) (2016), Administration of a nationally-representative learning assessment at the end of primary in reading (number),1,,,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,,Matched (3)
FRA,France,ADMI.ENDOFPRIM.READ,2018,Source:Data sources,Cycle des Evaluations Disciplinaires Realisees sur Echantillons (CEDRE) (2015); Evaluation des Acquis des Eleves (2014); Evaluation des Acquis des Eleves (2016); Evaluation des Acquis des Eleves (2017); Evaluation des Acquis des Eleves (2018); Progress in International Reading Literacy Study(PIRLS) (2016), Administration of a nationally-representative learning assessment at the end of primary in reading (number),1,,,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,,Matched (3)
FRA,France,ADMI.ENDOFPRIM.READ,2014,Source:Data sources,Evaluation des Acquis des Eleves (2010); Evaluation des Acquis des Eleves (2011); Evaluation des Acquis des Eleves (2012); Evaluation des Acquis des Eleves (2013); Evaluation des Acquis des Eleves (2014); Progress in International Reading Literacy Study(PIRLS) (2011), Administration of a nationally-representative learning assessment at the end of primary in reading (number),1,,,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,,Matched (3)
FRA,France,ADMI.ENDOFPRIM.READ,2020,Source:Data sources,Evaluation des Acquis des Eleves (2016); Evaluation des Acquis des Eleves (2017); Evaluation des Acquis des Eleves (2018); Evaluation des Acquis des Eleves (2019); Progress in International Reading Literacy Study(PIRLS) (2016), Administration of a nationally-representative learning assessment at the end of primary in reading (number),1,,,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,,Matched (3)
FRA,France,ADMI.ENDOFPRIM.MAT,2016,Source:Data sources,Cycle des Evaluations Disciplinaires Realisees sur Echantillons (CEDRE) (2014); Evaluation des Acquis des Eleves (2012); Evaluation des Acquis des Eleves (2013); Evaluation des Acquis des Eleves (2015); Evaluation des Acquis des Eleves (2016); Trends in International Mathematics and Science Study (TIMSS) G4 (2015), Administration of a nationally-representative learning assessment at the end of primary in mathematics (number),1,,,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,,Matched (3)
FRA,France,ADMI.ENDOFPRIM.MAT,2017,Source:Data sources,Cycle des Evaluations Disciplinaires Realisees sur Echantillons (CEDRE) (2014); Evaluation des Acquis des Eleves (2013); Evaluation des Acquis des Eleves (2015); Evaluation des Acquis des Eleves (2016); Evaluation des Acquis des Eleves (2017); Trends in International Mathematics and Science Study (TIMSS) G4 (2015), Administration of a nationally-representative learning assessment at the end of primary in mathematics (number),1,,,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,,Matched (3)
FRA,France,ADMI.ENDOFPRIM.MAT,2021,Source:Data sources,Cycle des Evaluations Disciplinaires Realisees sur Echantillons (CEDRE) (2019); Evaluation de debut de sixieme (2021); Evaluation des Acquis des Eleves (2017); Evaluation des Acquis des Eleves (2018); Trends in International Mathematics and Science Study (TIMSS) G4 (2019), Administration of a nationally-representative learning assessment at the end of primary in mathematics (number),1,,,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,,Matched (3)
